iter	Logloss
0	0.682108054311	0.6722850997
2	0.6659454797
3	0.658163683444	0.652341469555	0.645646761666	0.64084698467	0.6362589576
8	0.632294512699	0.6288536674110	0.6211004341111	0.6175915519
12	0.6146269528
13	0.6076553721414	0.6024630631515	0.5990595931616	0.5947823841717	0.5923578959118	0.5883144808
19	0.5842783359220	0.5818922935
21	0.5790966822222	0.5766643964
23	0.5745454872424	0.56990533925	0.5630912996
226	0.565374451
27	0.5632594928	28	0.561768529	029	0.559002830	030	0.557110631	031	0.554389232	032	0.552165833	0.5485490402
34	0.5463289402
35	0.5444017633
36	0.5434386706
37	0.5408478543
38	0.5387996934
39	0.5373040142
40	0.5338580508
41	0.5315099768
42	0.5303896622
43	0.5291899199
44	0.5271619549
45	0.5257489599
46	0.5242517783
47	0.5231268027
48	0.5217328403
49	0.5200944135
50	0.5179173986
51	0.516647741
52	0.5152105683
53	0.5133627454
54	0.5121203218
55	0.5107625583
56	0.5097052749
57	0.5082044096
58	0.5065312569
59	0.504915805
60	0.5038902442
61	0.5014643231
62	0.5005807018
63	0.4992823742
64	0.4974985881
65	0.4959965247
66	0.4944748708
67	0.4928741668
68	0.4918510124
69	0.4908785558
70	0.4895932426
71	0.4882068284
72	0.4869898497
73	0.4853680284
74	0.4841991871
75	0.4831954977
76	0.4815058041
77	0.4802731276
78	0.479412415
79	0.4782897625
80	0.4770888172
81	0.4763161764
82	0.475010684
83	0.4741202192
84	0.4724493334
85	0.4711678374
86	0.470158475
87	0.4687656602
88	0.4672164464
89	0.4649313886
90	0.4638510004
91	0.4629653195
92	0.461552289
93	0.4601775304
94	0.459280476
95	0.4580793607
96	0.4570732977
97	0.4564223072
98	0.4555494301
99	0.4547705503
100	0.453424323
101	0.4524171521
102	0.45158836
103	0.4508298162
104	0.4498396484
105	0.4489913692
106	0.448222901
107	0.4476211205
108	0.4464948994
109	0.4456388508
110	0.4440349331
111	0.4425485114
112	0.4416770027
113	0.4409349789
114	0.4390456055
115	0.4372082619
116	0.4358072661
117	0.4347507678
118	0.4333863897
119	0.4325690453
120	0.4311757937
121	0.4307139955
122	0.4298599597
123	0.4285811634
124	0.4279147951
125	0.427045336
126	0.4261926011
127	0.425328719
128	0.4243414775
129	0.4231228054
130	0.4220225436
131	0.421336941
132	0.419989037
133	0.4190191559
134	0.4183273132
135	0.4175066404
136	0.4166489024
137	0.4154782909
138	0.4146396295
139	0.4134083822
140	0.4123637568
141	0.4113933262
142	0.4105696367
143	0.4094660017
144	0.4086519566
145	0.4071898
146	0.4063900658
147	0.4050883915
148	0.4040118495
149	0.4036292969
150	0.4028950662
151	0.4017008664
152	0.4007375349
153	0.4001572405
154	0.3995510176
155	0.3987322294
156	0.3977356889
157	0.3968490012
158	0.3957074694
159	0.3947614943
160	0.3940212785
161	0.3935858921
162	0.3927186832
163	0.3918238637
164	0.3909459184
165	0.3903650443
166	0.3898051807
167	0.3887920504
168	0.3881164309
169	0.3875024919
170	0.386781591
171	0.3859274546
172	0.3847781543
173	0.3833643227
174	0.3826865995
175	0.3820004874
176	0.3810503715
177	0.3800859686
178	0.3792448832
179	0.3785443587
180	0.3775935982
181	0.3769026312
182	0.3758064388
183	0.3752561514
184	0.3743644381
185	0.3735115074
186	0.3725812892
187	0.371800134
188	0.3708093489
189	0.3701157952
190	0.3694888027
191	0.3685905846
192	0.3680333947
193	0.3673709577
194	0.366710029
195	0.36594033
196	0.3651370155
197	0.3643601577
198	0.3634648652
199	0.3625035762
200	0.3614082352
201	0.360615424
202	0.3598810288
203	0.3592092247
204	0.3583931824
205	0.3571807599
206	0.3566419228
207	0.3560372419
208	0.35517748
209	0.3545058116
210	0.3537593775
211	0.3524196866
212	0.3513205758
213	0.3509135331
214	0.3502914291
215	0.3493046446
216	0.3488516326
217	0.3481748037
218	0.3475543165
219	0.3471527674
220	0.3466427746
221	0.3461100061
222	0.3450961038
223	0.3446513161
224	0.3438662192
225	0.3430782884
226	0.3421074595
227	0.3414935875
228	0.3405983338
229	0.3399446918
230	0.3391549702
231	0.3384760115
232	0.3375134561
233	0.3367360092
234	0.3358209204
235	0.3350251843
236	0.3340210477
237	0.3333129682
238	0.3327465455
239	0.3321758298
240	0.3313816784
241	0.3306770511
242	0.3297881281
243	0.3292667448
244	0.3288305999
245	0.3283277034
246	0.3275271078
247	0.3267174098
248	0.3263356862
249	0.3256952244
250	0.3246253992
251	0.3242944684
252	0.3235270933
253	0.3230143452
254	0.3222259684
255	0.3217151007
256	0.3211635977
257	0.3207793123
258	0.3200104157
259	0.3192864196
260	0.3185746389
261	0.3180037585
262	0.3168962263
263	0.3159494131
264	0.3152030265
265	0.3146049589
266	0.3142825569
267	0.3138023038
268	0.3133817325
269	0.3128993713
270	0.3122962707
271	0.3118782593
272	0.3112778706
273	0.3105557483
274	0.3097812581
275	0.3089922401
276	0.3084870805
277	0.3079579772
278	0.3073281229
279	0.3067811905
280	0.3062292501
281	0.3057946126
282	0.3052112922
283	0.3043540274
284	0.3037935176
285	0.3028485428
286	0.3022762773
287	0.3018892399
288	0.301668017
289	0.3009539034
290	0.3002634067
291	0.2998569558
292	0.299291865
293	0.2989491426
294	0.2985449682
295	0.2982039854
296	0.2979452525
297	0.2976390229
298	0.296966714
299	0.2964877443
300	0.2954696454
301	0.2950149139
302	0.2940780965
303	0.2934561089
304	0.2928902187
305	0.2922338143
306	0.2918952966
307	0.2915904887
308	0.2911149222
309	0.2906017835
310	0.2900614475
311	0.2894900247
312	0.289185101
313	0.2883809448
314	0.287792779
315	0.2873053929
316	0.2869568551
317	0.2856909143
318	0.2852154381
319	0.284401365
320	0.2837221142
321	0.2831021125
322	0.2825585889
323	0.2818825008
324	0.2813812947
325	0.280965555
326	0.2801333043
327	0.279553172
328	0.2788162214
329	0.2784706807
330	0.277605929
331	0.2770719473
332	0.2766849043
333	0.2758999767
334	0.2752223388
335	0.2745015644
336	0.2738932415
337	0.273290301
338	0.2729654877
339	0.272596187
340	0.2721797955
341	0.2715043656
342	0.2708710256
343	0.2703398721
344	0.2699873044
345	0.2695983961
346	0.268830031
347	0.2684584634
348	0.2680808937
349	0.2676581527
350	0.266705992
351	0.2660096794
352	0.2653221284
353	0.2646168709
354	0.2641441666
355	0.2637867979
356	0.2632556378
357	0.2626579442
358	0.2620170412
359	0.261213919
360	0.260666668
361	0.2602638463
362	0.2599268648
363	0.2595720536
364	0.2594234548
365	0.2588998986
366	0.2584587729
367	0.2581478218
368	0.2578776066
369	0.2575678695
370	0.2571198085
371	0.2563638003
372	0.2558404715
373	0.2554056583
374	0.2551203932
375	0.2545847173
376	0.2541960193
377	0.2535889458
378	0.2531441656
379	0.2525682396
380	0.2521286469
381	0.2516947817
382	0.2510069726
383	0.2505349674
384	0.2501117319
385	0.2495503803
386	0.248999277
387	0.2486146243
388	0.2482011615
389	0.2478624594
390	0.2475178598
391	0.2472205592
392	0.2466233849
393	0.2460968131
394	0.2456682754
395	0.2450620675
396	0.2447224693
397	0.2442471594
398	0.2439633184
399	0.2434385008
400	0.2429981941
401	0.2425349265
402	0.2420534874
403	0.241702215
404	0.241272144
405	0.2410511887
406	0.2405249444
407	0.2400290451
408	0.2397462562
409	0.2393881211
410	0.2388878489
411	0.2384682959
412	0.2380684843
413	0.2378096069
414	0.2374042642
415	0.2369324933
416	0.2363782622
417	0.2359433617
418	0.235815846
419	0.2356132176
420	0.2352090882
421	0.2348238312
422	0.2343372312
423	0.2338701524
424	0.2336403774
425	0.2329957866
426	0.2327202836
427	0.232495528
428	0.2318714084
429	0.2314531371
430	0.2311474312
431	0.2306420745
432	0.2302800648
433	0.2298098356
434	0.2295427039
435	0.229291552
436	0.2290793726
437	0.228602294
438	0.2283024191
439	0.2277140481
440	0.2271694469
441	0.2268084886
442	0.2263536888
443	0.2261519225
444	0.2257241301
445	0.2251240535
446	0.2247930381
447	0.2244287874
448	0.2241740267
449	0.2238565153
450	0.2236045323
451	0.2234083387
452	0.2230175038
453	0.2225877655
454	0.2220868352
455	0.2218881619
456	0.2213689227
457	0.2210555194
458	0.2207135759
459	0.2202916917
460	0.2199503141
461	0.2195504836
462	0.2191451677
463	0.2187894318
464	0.218212009
465	0.2176491111
466	0.2173931885
467	0.2170829157
468	0.2166625412
469	0.216210971
470	0.2160329787
471	0.215810633
472	0.2154559124
473	0.2151265407
474	0.2145936124
475	0.2142209763
476	0.2139842663
477	0.2137182744
478	0.2135501553
479	0.2132257624
480	0.212989197
481	0.2127027153
482	0.2123464376
483	0.2120239015
484	0.2118539304
485	0.211565774
486	0.2112865973
487	0.2111279931
488	0.210826759
489	0.2105746812
490	0.2100924541
491	0.2098575156
492	0.209428358
493	0.2089664093
494	0.2085244699
495	0.2081332929
496	0.2077508674
497	0.2074937883
498	0.207091785
499	0.2069208663
500	0.2067039307
501	0.2062546818
502	0.2059794847
503	0.2057153728
504	0.2054901192
505	0.2052627656
506	0.2050505451
507	0.204596867
508	0.2042949325
509	0.2038343346
510	0.2034722067
511	0.2032485687
512	0.2029965889
513	0.2027212734
514	0.2023856598
515	0.202038054
516	0.2017502782
517	0.201407441
518	0.2011030977
519	0.2008052005
520	0.2004888275
521	0.2001160694
522	0.1997648766
523	0.1993498985
524	0.1988906653
525	0.1986088283
526	0.1981403112
527	0.1979490821
528	0.1976551514
529	0.1972316462
530	0.1969241551
531	0.1967047255
532	0.1964434297
533	0.1960409954
534	0.1956357901
535	0.1954381978
536	0.1950805169
537	0.1948563395
538	0.1945497169
539	0.1942830005
540	0.1939948741
541	0.1936567385
542	0.1933397422
543	0.1930059141
544	0.1925884259
545	0.1923581708
546	0.1919563817
547	0.1916292205
548	0.1912069948
549	0.1910052588
550	0.1907115208
